,0
vol_6m,429
de_ratio,415
price_close,399
roe,369
roa,367
currentAssets,347
operatingCashflow_growth,344
currentLiabilities,334
ret_12m,333
totalDebt,327
totalRevenue_growth,324
totalDebt_lag1,322
operatingCashflow,320
pe,315
ret_6m,312
pb_lag1,308
netIncome_growth,299
totalAssets_growth,297
totalShareholderEquity_growth,287
totalRevenue,272
ret_3m,258
pe_lag1,255
operatingCashflow_lag1,240
netIncome,239
netIncome_lag1,229
pb_growth,219
pb,215
pe_growth,213
totalShareholderEquity_lag1,201
totalShareholderEquity,188
ret_1m,183
totalAssets_lag1,173
totalRevenue_lag1,169
totalAssets,162
totalDebt_growth,136
